Iteration,Fitness
0,0.04191555452410811
1,0.04228177680176605
2,0.04260684898731862
3,0.04328075725010251
4,0.04427109578841885
5,0.04480233278339032
6,0.045680175902963985
7,0.04653459963639121
8,0.04664236474136922
9,0.04754580856450108
10,0.048587175493925945
11,0.049509372316222336
12,0.05038057808938236
13,0.05140398476811136
14,0.0521118757784482
15,0.052409157671184994
16,0.05321044165926139
17,0.05331740623458286
18,0.0534736275826318
19,0.054420898365210746
20,0.05444574565490215
21,0.05473425899106836
22,0.054807643113807085
23,0.05541673683929028
24,0.055461347055499446
25,0.055801273957879184
26,0.055844084460729776
27,0.0562726786572851
28,0.05620104647097556
29,0.05639496779076918
30,0.0566568313755988
31,0.05648964490726078
32,0.057107098106291776
33,0.057323081109927225
34,0.057151064869758565
35,0.05775583402861821
36,0.05747773120886006
37,0.05778869118076067
38,0.05783032752558738
39,0.05811841754683435
40,0.058467721184106466
41,0.05818024031300401
42,0.058905206393922833
43,0.05869100218270179
44,0.05850138829180221
45,0.0583852476710328
46,0.05877929678105926
47,0.05887007275967385
48,0.05909355786274114
49,0.05904425719746426
50,0.059132237648035886
51,0.059358145582197056
52,0.05990996401229581
53,0.06146301267999055
54,0.06223067010008921
55,0.0625363507148483
56,0.06282356973712647
57,0.06269081174576202
58,0.0628522141575664
59,0.06281343862165974
60,0.0630242655790902
61,0.06338077911909752
62,0.06352680420202059
63,0.06348486972770007
64,0.06351001142762522
65,0.06370986924587574
66,0.06384535319870896
67,0.06366612590694887
68,0.06355880505409517
69,0.06363570313875322
70,0.06362335348021887
71,0.06372665741996425
72,0.06388403293077272
73,0.06399066589901588
74,0.06419282334164232
75,0.06435541230193505
76,0.06501804992971758
77,0.06519606408039101
78,0.06554268440641785
79,0.06561213888489754
80,0.06558685485523587
81,0.0653596195001092
82,0.06546919562107761
83,0.06572887521707109
84,0.06554811356256612
85,0.06559804870989672
86,0.06582795718268325
87,0.06566114404704454
88,0.06565482373309271
89,0.06578839497185608
90,0.0662776415934896
91,0.06604052060462527
92,0.0663533491300857
93,0.06744826256924098
94,0.06788049445421912
95,0.06843797254010979
96,0.06805516016191304
97,0.06840817209077772
98,0.06855835417258199
99,0.06867521032472408
100,0.06823611334546373
101,0.06849720095520498
102,0.06867048798708528
103,0.06850371077279904
104,0.06825494227348002
105,0.06838783480728498
106,0.06874031104342396
107,0.06873485377678072
